title,genres,keywords,overview,movie_id,cast,crew,revenue,vote_average,vote_count,popularity
w.,"drama,history",usa white house usa president george w. bush president iraq war,"whether you love him or hate him , there is no question that george w. bush is one of the most controversial public figure in recent memory . w take viewer through bush ’ s eventful life -- his struggle and triumph , how he found both his wife and his faith , and of course the critical day leading up to bush ’ s decision to invade iraq .",10523,"['Josh_Brolin', 'Elizabeth_Banks', 'Ellen_Burstyn', 'Ioan_Gruffudd', 'Thandie_Newton']",['Oliver_Stone'],low revenue,7.2,low voted,low popularity
taken,"action,thriller",paris kidnapping human trafficking rescue prostitution albanian missing daughter ex cia agent,"while vacationing with a friend in paris , an american girl is kidnapped by a gang of human trafficker intent on selling her into forced prostitution . working against the clock , her ex-spy father must pull out all the stop to save her . but with his best year possibly behind him , the job may be more than he can handle .",8681,"['Liam_Neeson', 'Famke_Janssen', 'Maggie_Grace', 'Katie_Cassidy', 'Holly_Valance']",['Pierre_Morel'],low revenue,6.1,low voted,low popularity
the best of me,"drama,romance",high school sweetheart,a pair of former high school sweetheart reunite after many year when they return to visit their small hometown .,239571,"['Michelle_Monaghan', 'James_Marsden', 'Liana_Liberato', 'Luke_Bracey', 'Gerald_McRaney']",['Michael_Hoffman'],low revenue,8.3,low voted,low popularity
the bodyguard,"thriller,action,drama",sister sister relationship anonymous letter diva bodyguard oscar award los angeles,"a former secret service agent grudgingly take an assignment to protect a pop idol who 's threatened by a crazed fan . at first , the safety-obsessed bodyguard and the self-indulgent diva totally clash . but before long , all that tension spark firework of another sort , and the love-averse tough guy is torn between duty and romance .",619,"['Whitney_Houston', 'Kevin_Costner', 'Michele_Lamar_Richards', 'Ralph_Waite', 'Gary_Kemp']",['Mick_Jackson'],low revenue,7.8,low voted,low popularity
schindler's list,"drama,history,war",factory concentration camp hero holocaust world war ii nazis defense industry biography the holocaust,the true story of how businessman oskar schindler saved over a thousand jewish life from the nazi while they worked a slave in his factory during world war ii .,424,"['Liam_Neeson', 'Ben_Kingsley', 'Ralph_Fiennes', 'Caroline_Goodall', 'Jonathan_Sagall']",['Steven_Spielberg'],low revenue,5.7,low voted,low popularity
the help,drama,mississippi based on novel exploitation racial segregation racism writer maid moral courage ressentiment southern belle racial issues 1960s newspaper columnist,"aibileen clark is a middle-aged african-american maid who ha spent her life raising white child and ha recently lost her only son ; minny jackson is an african-american maid who ha often offended her employer despite her family 's struggle with money and her desperate need for job ; and eugenia `` skeeter '' phelan is a young white woman who ha recently moved back home after graduating college to find out her childhood maid ha mysteriously disappeared . these three story intertwine to explain how life in jackson , mississippi revolves around `` the help '' ; yet they are always kept at a certain distance because of racial line .",50014,"['Emma_Stone', 'Viola_Davis', 'Octavia_Spencer', 'Bryce_Dallas_Howard', 'Jessica_Chastain']",['Tate_Taylor'],low revenue,5.4,low voted,low popularity
the fifth estate,"drama,thriller",journalist biography internet information leak activist,"a look at the relationship between wikileaks founder julian assange and his early supporter and eventual colleague daniel domscheit-berg , and how the website 's growth and influence led to an irreparable rift between the two friend .",162903,"['Benedict_Cumberbatch', 'Daniel_Brühl', 'Anthony_Mackie', 'David_Thewlis', 'Alicia_Vikander']",['Bill_Condon'],low revenue,4.9,low voted,low popularity
scooby-doo 2: monsters unleashed,"mystery,fantasy,adventure",detective monster engine based on tv series dog,"when mystery , inc. are guest of honor at the grand opening of the coolsville museum of criminology , a masked villain show up and creates havoc before stealing the costume of the gang 's most notorious villain ... could it be that their nemesis , mad scientist jonathan jacobo ha returned and is trying to recreate their deadliest foe ?",11024,"['Freddie_Prinze_Jr.', 'Sarah_Michelle_Gellar', 'Matthew_Lillard', 'Linda_Cardellini', 'Seth_Green']",['Raja_Gosnell'],low revenue,5.8,low voted,low popularity
forbidden kingdom,"thriller,adventure,mystery",monster mystic church demon witchcraft science dark fantasy 3d,"early 18th century . cartographer jonathan green undertakes a scientific voyage from europe to the east . having passed through transylvania and crossed the carpathian mountain , he find himself in a small village lost in impassible wood . nothing but chance and heavy fog could bring him to this cursed place . people who live here do not resemble any other people which the traveler saw before that . the villager , having dug a deep moat to fend themselves from the rest of the world , share a naive belief that they could save themselves from evil , failing to understand that evil ha made it nest in their soul and is waiting for an opportunity to gush out upon the world .",208763,"['Jason_Flemyng', 'Aleksey_Chadov', 'Agniya_Ditkovskite', 'Yuriy_Tsurilo', 'Olga_Zaytseva']",['Oleg_Stepchenko'],low revenue,4.7,low voted,low popularity
freddy vs. jason,horror,murder marijuana teenager bad dream,"evil dream-demon freddy krueger devise a plan to manipulate the unstoppable jason vorhees into hacking up the teenager of elm street in an effort to make people remember the name freddy krueger , thus freeing him from limbo .",6466,"['Robert_Englund', 'Ken_Kirzinger', 'Jason_Ritter', 'Monica_Keena', 'Lochlyn_Munro']",['Ronny_Yu'],low revenue,5.6,low voted,low popularity
the face of an angel,"thriller,drama",murder investigation,both a journalist and a documentary filmmaker chase the story of a murder and it prime suspect .,254024,"['Kate_Beckinsale', 'Cara_Delevingne', 'Daniel_Brühl', 'Ava_Acres', 'Corrado_Invernizzi']",['Michael_Winterbottom'],low revenue,6.4,low voted,low popularity
jimmy neutron: boy genius,"action,adventure,animation",showdown gi villain genius alien rescue miniaturization robot battle laser gun spear boy genius,"jimmy neutron is a boy genius and way ahead of his friend , but when it come to being cool , he 's a little behind . all until one day when his parent , and parent all over earth are kidnapped by alien , it 's up to him to lead all the child of the world to rescue their parent .",12589,"['Debi_Derryberry', 'Megan_Cavanagh', 'Mark_DeCarlo', 'Jeffrey_Garcia', 'Patrick_Stewart']",['John_A._Davis'],low revenue,5.8,low voted,low popularity
cloverfield,"action,thriller,science fiction",helicopter monster skyscraper fight camcorder panic chaos supernatural quarantine friends alien rescue survival disaster escape giant monster kaiju military found footage aftercreditsstinger,"five young new yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city . told from the point of view of their video camera , the film is a document of their attempt to survive the most surreal , horrifying event of their life .",7191,"['Lizzy_Caplan', 'Jessica_Lucas', 'Odette_Annable', 'Michael_Stahl-David', 'Mike_Vogel']",['Matt_Reeves'],low revenue,7.6,low voted,low popularity
teenage mutant ninja turtles ii: the secret of the ooze,"science fiction,adventure,action",crime fighter fight mutant turtle ninja reporter new york city,"the turtle and the shredder battle once again , this time for the last cannister of the ooze that created the turtle , which shredder want to create an army of new mutant .",1497,"['Paige_Turco', 'David_Warner', 'Michelan_Sisti', 'Leif_Tilden', 'Kenn_Scott']",['Michael_Pressman'],low revenue,7.7,low voted,low popularity
the untouchables,"crime,drama,history",white suit al capone tough cop treasury agent untouchable tax evasion jury tampering rule of law rooftop chase cutting face while shaving 1930s,"young treasury agent elliot ness arrives in chicago and is determined to take down al capone , but it 's not going to be easy because capone ha the police in his pocket . ness meet jimmy malone , a veteran patrolman and probably the most honorable one on the force . he asks malone to help him get capone , but malone warns him that if he go after capone , he is going to war .",117,"['Kevin_Costner', 'Sean_Connery', 'Charles_Martin_Smith', 'Andy_García', 'Robert_De_Niro']",['Brian_De_Palma'],low revenue,6.1,low voted,low popularity
no country for old men,"crime,drama,thriller",texas drug traffic hitman united states–mexico barrier suspense,"llewelyn moss stumble upon dead body , $ 2 million and a hoard of heroin in a texas desert , but methodical killer anton chigurh come looking for it , with local sheriff ed tom bell hot on his trail . the role of prey and predator blur a the violent pursuit of money and justice collide .",6977,"['Tommy_Lee_Jones', 'Javier_Bardem', 'Josh_Brolin', 'Woody_Harrelson', 'Kelly_Macdonald']","['Joel_Coen', 'Ethan_Coen']",low revenue,6.5,low voted,low popularity
ride along,"action,comedy",police operation police officer brother-in-law brother-in-law relationship duringcreditsstinger black men,"for the past two year , high-school security guard ben ha been trying to show decorated apd detective james that he 's more than just a video-game junkie who 's unworthy of james ' sister , angela . when ben finally get accepted into the academy , he think he 's earned the seasoned policeman 's respect and asks for his blessing to marry angela . knowing that a ride along will demonstrate if ben ha what it take to take care of his sister , james invite him on a shift designed to scare the hell out of the trainee . but when the wild night lead them to the most notorious criminal in the city , james will find that his new partner 's rapid-fire mouth is just a dangerous a the bullet speeding at it .",168530,"['Ice_Cube', 'Kevin_Hart', 'John_Leguizamo', 'Bruce_McGill', 'Tika_Sumpter']",['Tim_Story'],low revenue,6.8,low voted,low popularity
bridget jones's diary,"comedy,romance,drama",holiday london england england alcohol sex lovesickness telecaster birthday christmas party news broadcast sexual frustration diary cigarette daughter mother daughter relationship lawyer reporter extramarital affair duringcreditsstinger woman director christmas,"a chaotic bridget jones meet a snobbish lawyer , and he soon enters her world of imperfection .",634,"['Renée_Zellweger', 'Colin_Firth', 'Hugh_Grant', 'Gemma_Jones', 'Jim_Broadbent']",['Sharon_Maguire'],low revenue,5.1,low voted,low popularity
chocolat,"comedy,drama,romance",chocolate mayor praline single mother daughter relationship,"a fable of emotional liberation and chocolate . a mother and daughter move to a small french town where they open a chocolate shop . the town , religious and morally strict , is against them a they represent free-thinking and indulgence . when a group of boat gypsy float down the river the prejudice of the mayor lead to a crisis .",392,"['Juliette_Binoche', 'Alfred_Molina', 'Johnny_Depp', 'Judi_Dench', 'Leslie_Caron']",['Lasse_Hallström'],low revenue,5.7,low voted,low popularity
"legally blonde 2: red, white & blonde",comedy,washington d.c. boston chambers of a barrister tierversuch lawyer,"after elle wood , the eternally perky , fashionably adventurous , famously blonde harvard law grad get fired by her law firm because of her opposition to animal testing , she take her fight to washington . a an aide for congresswoman victoria rudd , she push for a bill to ban testing once and for all , but it 's her building 's doorman who advises her on how to get her way on the hill .",10327,"['Reese_Witherspoon', 'Sally_Field', 'Regina_King', 'Jennifer_Coolidge', 'James_Newman']",['Charles_Herman-Wurmfeld'],low revenue,6.1,low voted,low popularity
parental guidance,comedy,,artie and diane agree to look after their three grandkids when their type-a helicopter parent need to leave town for work . problem arise when the kid ' 21st-century behavior collides with artie and diane 's old-school method .,88042,"['Billy_Crystal', 'Bette_Midler', 'Marisa_Tomei', 'Tom_Everett_Scott', 'Bailee_Madison']",['Andy_Fickman'],low revenue,7.4,low voted,low popularity
no strings attached,"comedy,romance",father son relationship casual meeting student of medicine friends valentine male female relationship open relationship sexual humor best friend casual sex best friends in love duringcreditsstinger fling father son conflict friends with benefit,"emma is a busy doctor who set up a seemingly perfect arrangement when she offer her best friend adam a relationship with one rule : no string attached . but when a fling becomes a thing , can sex friend stay best friend ?",41630,"['Natalie_Portman', 'Ashton_Kutcher', 'Kevin_Kline', 'Cary_Elwes', 'Greta_Gerwig']",['Ivan_Reitman'],low revenue,6.0,low voted,low popularity
tombstone,"action,adventure,drama",retirement wyatt earp right and justice historical figure,"legendary marshal wyatt earp , now a weary gunfighter , join his brother morgan and virgil to pursue their collective fortune in the thriving mining town of tombstone . but earp is forced to don a badge again and get help from his notorious pal doc holliday when a gang of renegade brigand and rustler begin terrorizing the town .",11969,"['Kurt_Russell', 'Val_Kilmer', 'Sam_Elliott', 'Bill_Paxton', 'Powers_Boothe']",['George_P._Cosmatos'],low revenue,7.2,low voted,low popularity
romeo must die,"action,crime,thriller",martial arts hip-hop oakland asian asian man asian lead,"two warring gang family ( one african-american , the other chinese ) maneuver for bragging right to the oakland , california , dock . hang sing and trish o'day uncover a trail of deceit that leaf most of the warring faction dead … or worse !",2085,"['Jet_Li', 'Aaliyah', 'Isaiah_Washington', 'Russell_Wong', 'DMX']",['Andrzej_Bartkowiak'],low revenue,5.8,low voted,low popularity
the omen,"horror,thriller",monk prophecy ambassador nanny rottweiler devil's son revelation aggression by animal photography paranormal phenomena cowardliness archaeologist,"immediately after their miscarriage , the u diplomat robert thorn adopts the newborn damien without the knowledge of his wife . yet what he doesn ’ t know is that their new son is the son of the devil . a classic horror film with gregory peck from 1976 .",794,"['Gregory_Peck', 'Lee_Remick', 'David_Warner', 'Billie_Whitelaw', 'Harvey_Stephens']",['Richard_Donner'],low revenue,6.8,low voted,low popularity
final destination 3,"horror,mystery",beheading dying and death stroke of fate,"a student 's premonition of a deadly rollercoaster ride save her life and a lucky few , but not from death itself – which seek out those who escaped their fate .",9286,"['Mary_Elizabeth_Winstead', 'Ryan_Merriman', 'Kris_Lemche', 'Alexz_Johnson', 'Sam_Easton']",['James_Wong'],low revenue,7.0,low voted,low popularity
the lucky one,"drama,romance",based on novel wife husband relationship photo kennel playing chess bomb explosion iraq veteran,"u.s. marine sergeant logan thibault return from his third tour of duty in iraq , with the one thing he credit with keeping him alive-a photograph he found of a woman he doe n't even know . learning her name is beth and where she life , he show up at her door , and end up taking a job at her family-run local kennel . despite her initial mistrust and the complication in her life , a romance develops between them , giving logan hope that beth could be much more than his good luck charm .",77877,"['Zac_Efron', 'Blythe_Danner', 'Taylor_Schilling', 'Jay_R._Ferguson', 'Riley_Thomas_Stewart']",['Scott_Hicks'],low revenue,7.2,low voted,low popularity
bridge to terabithia,"adventure,drama,family",brother sister relationship friendship bullying neighbor school drawing based on children's book school bus imagination creek clubhouse reality vs fantasy outsider fantasy world overflowing with imagination,"jesse aaron trained all summer to become the fastest runner in school , so he 's very upset when newcomer leslie burke outruns him and everyone else . despite this and other difference , including that she 's rich , he 's poor , and she 's a city girl , he 's a country boy , the two become fast friend . together , they create terabithia , a land of monster , troll , ogre , and giant and rule a king and queen .",1265,"['Josh_Hutcherson', 'AnnaSophia_Robb', 'Robert_Patrick', 'Zooey_Deschanel', 'Bailee_Madison']",['Gábor_Csupó'],low revenue,7.0,low voted,low popularity
finding neverland,drama,london england scotland parents kids relationship becoming an adult fantasy mother role childhood memory success widow theatre play stroke of fate costume peter pan theatre group adventure loss of husband marriage crisis theatre milieu friendship faith single mother daughter relationship author pirate illness spectacle child,finding neverland is an amusing drama about how the story of peter pan and neverland came to be . during a writing slump play writer j.m . barrie meet the widowed sylvia and her three child who soon become an important part of barrie ’ s life and the inspiration that lead him to create his masterpiece “ peter pan . ”,866,"['Johnny_Depp', 'Kate_Winslet', 'Julie_Christie', 'Dustin_Hoffman', 'Freddie_Highmore']",['Marc_Forster'],low revenue,6.4,low voted,low popularity
a madea christmas,"comedy,drama",christmas,madea dispenses her unique form of holiday spirit on rural town when she 's coaxed into helping a friend pay her daughter a surprise visit in the country for christmas .,175555,"['Tyler_Perry', 'Anna_Maria_Horsford', 'Tika_Sumpter', 'Eric_Lively', 'Chad_Michael_Murray']",['Tyler_Perry'],low revenue,6.1,low voted,low popularity
the grey,"action,drama,thriller",alcohol isolation wolf wilderness forest stranded alaska survival airplane crash fear howling death animal killing freezing animal attack campfire male camaraderie gun in mouth aftercreditsstinger bar fight eaten alive eaten by animal,an oil drilling team struggle to survive after a plane crash strand them in the wild of alaska . hunting them is a pack of wolf that see them a intruder .,75174,"['Liam_Neeson', 'Dermot_Mulroney', 'Frank_Grillo', 'Dallas_Roberts', 'Joe_Anderson']",['Joe_Carnahan'],low revenue,6.7,low voted,low popularity
hide and seek,"horror,mystery,thriller",house imaginary friend suspense loss of wife,"david callaway try to piece together his life in the wake of his wife 's suicide and ha been left to raise his nine-year-old daughter , emily on his own . david is at first amused to discover that emily ha created an imaginary friend named 'charlie ' , but it is n't long before 'charlie ' develops a sinister and violent side , and a david struggle with his daughter 's growing emotional problem , he come to the frightening realisation that 'charlie ' is n't just a figment of emily 's imagination .",11096,"['Robert_De_Niro', 'Dakota_Fanning', 'Famke_Janssen', 'Elisabeth_Shue', 'Amy_Irving']",['John_Polson'],low revenue,8.2,low voted,low popularity
anchorman: the legend of ron burgundy,comedy,journalism sexism ladder panda tv show in film mustache misogynist newsroom teleprompter gang warfare aftercreditsstinger duringcreditsstinger news spoof,"it 's the 1970s , and san diego super-sexist anchorman ron burgundy is the top dog in local tv , but that 's all about to change when ambitious reporter veronica corningstone arrives a a new employee at his station .",8699,"['Will_Ferrell', 'Christina_Applegate', 'Paul_Rudd', 'David_Koechner', 'Steve_Carell']",['Adam_McKay'],low revenue,5.0,low voted,low popularity
goodfellas,"drama,crime",prison based on novel florida 1970s mass murder irish-american drug traffic biography based on true story murder organized crime gore mafia gangster new york city extreme violence violence brooklyn new york city crime epic tampa,"the true story of henry hill , a half-irish , half-sicilian brooklyn kid who is adopted by neighbourhood gangster at an early age and climb the rank of a mafia family under the guidance of jimmy conway .",769,"['Robert_De_Niro', 'Ray_Liotta', 'Joe_Pesci', 'Lorraine_Bracco', 'Paul_Sorvino']",['Martin_Scorsese'],low revenue,6.4,low voted,low popularity
agent cody banks,action,spy cia killer robot delinquent teen spy,"recruited by the u.s. government to be a special agent , nerdy teenager cody bank must get closer to cute classmate natalie in order to learn about an evil plan hatched by her father . but despite the agent persona , cody struggle with teen angst .",10923,"['Frankie_Muniz', 'Hilary_Duff', 'Angie_Harmon', 'Keith_David', 'Cynthia_Stevenson']",['Harald_Zwart'],low revenue,8.0,low voted,low popularity
nanny mcphee,"fantasy,comedy,family",loss of mother nanny education wizardry children single father,"widower cedric brown ( colin firth ) hire nanny mcphee ( emma thompson ) to care for his seven rambunctious child , who have chased away all previous nanny . taunted by simon ( thomas sangster ) and his sibling , nanny mcphee us mystical power to instill discipline . and when the child 's great-aunt and benefactor , lady adelaide stitch ( angela lansbury ) , threatens to separate the kid , the family pull together under the guidance of nanny mcphee .",11283,"['Emma_Thompson', 'Colin_Firth', 'Kelly_Macdonald', 'Thomas_Brodie-Sangster', 'Eliza_Bennett']",['Kirk_Jones'],low revenue,6.3,low voted,low popularity
scarface,"action,crime,drama",miami corruption capitalism cuba prohibition brother sister relationship loss of sister cocaine cult film bitterness,"after getting a green card in exchange for assassinating a cuban government official , tony montana stake a claim on the drug trade in miami . viciously murdering anyone who stand in his way , tony eventually becomes the biggest drug lord in the state , controlling nearly all the cocaine that come through miami . but increased pressure from the police , war with colombian drug cartel and his own drug-fueled paranoia serve to fuel the flame of his eventual downfall .",111,"['Al_Pacino', 'Steven_Bauer', 'Michelle_Pfeiffer', 'Mary_Elizabeth_Mastrantonio', 'Robert_Loggia']",['Brian_De_Palma'],low revenue,7.4,low voted,low popularity
nothing to lose,"action,adventure,comedy",rap music infidelity security camera loss crook sociopath revenge artifact f word racism criminal on the road desert security guard shoplifting screwball reckless driving road movie buddy comedy unlikely friendship carjacker advertising executive suv aftercreditsstinger,"advertising executive nick beame learns that his wife is sleeping with his employer . in a state of despair , he encounter a bumbling thief whose attempted carjacking go awry when nick take him on an involuntary joyride . soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme . but it turn out that some other criminal in the area do n't appreciate the competition .",11676,"['Tim_Robbins', 'Martin_Lawrence', 'John_C._McGinley', 'Kelly_Preston', 'Irma_P._Hall']",['Steve_Oedekerk'],low revenue,6.1,low voted,low popularity
the last emperor,"drama,history",buddhism japan suicide china suicide attempt war crimes becoming an adult isolation war on drugs revolution emperor arranged marriage manchuria dynasty reeducation camp cultural revolution human experimentation war coup d'etat teacher beijing decadence communism,"a dramatic history of pu yi , the last of the emperor of china , from his lofty birth and brief reign in the forbidden city , the object of worship by half a billion people ; through his abdication , his decline and dissolute lifestyle ; his exploitation by the invading japanese , and finally to his obscure existence a just another peasant worker in the people 's republic .",746,"['John_Lone', ""Peter_O'Toole"", 'Joan_Chen', 'Dennis_Dun', 'Ryuichi_Sakamoto']",['Bernardo_Bertolucci'],low revenue,5.9,low voted,low popularity
contraband,"thriller,action,drama",head wound criminal security guard contraband,"when his brother-in-law run afoul of a drug lord , family man chris farraday turn to a skill he abandoned long ago – smuggling – to repay the debt . but the job go wrong , and farraday find himself wanted by cop , crook and killer alike .",77866,"['Mark_Wahlberg', 'Kate_Beckinsale', 'Ben_Foster', 'Giovanni_Ribisi', 'J.K._Simmons']",['Baltasar_Kormákur'],low revenue,7.9,low voted,low popularity
money talks,"action,adventure,comedy",prison diamant liberation of prisoners transport of prisoners interview arrest,"money talk is a 1997 american comedy film directed by brett ratner . sought by police and criminal , a small-time huckster make a deal with a tv newsman for protection .",9416,"['Chris_Tucker', 'Charlie_Sheen', 'Heather_Locklear', 'Paul_Sorvino', 'Elise_Neal']",['Brett_Ratner'],low revenue,5.8,low voted,low popularity
there will be blood,drama,brother brother relationship deaf-mute american dream fanatic pipeline petrol father step father oil money killer alcoholic,"when ruthless oil prospector , daniel plainview learns of oil-rich land in california that can be bought cheaply , he move his operation there and begin manipulating and exploiting the local landowner into selling him their property . using his young adopted son to project the image of a caring family man , plainview gain the cooperation of almost all the local with lofty promise to build school and cultivate the land to make their community flourish . over time , plainview 's gradual accumulation of wealth and power cause his true self to surface , and he begin to slowly alienate himself from everyone in his life .",7345,"['Daniel_Day-Lewis', 'Paul_Dano', 'Dillon_Freasier', 'Ciarán_Hinds', ""Kevin_J._O'Connor""]",['Paul_Thomas_Anderson'],low revenue,5.6,low voted,low popularity
the wild thornberrys movie,"animation,adventure,family",sister sister relationship safari wildlife baboon chimpanzee woman director,"eliza and debbie are two sister who do n't always get along . but their relationship is put to the test when debbie 's life is in danger , and eliza might have to give up her power to talk to animal ....",14317,"['Lacey_Chabert', 'Tom_Kane', 'Cree_Summer', 'Tim_Curry', 'Lynn_Redgrave']","['Cathy_Malkasian', 'Jeff_McGrath']",low revenue,5.5,low voted,low popularity
rugrats go wild,"animation,family",kids and family,"rugrats go wild is a 2003 crossover animated film , with two animated nickelodeon television series rugrats and the wild thornberrys.the film wa produced by klasky csupo and released in theater on june 13 , 2003 by paramount picture and nickelodeon movie . it also make this the rugrats series finale , after the show ceased production . a there are currently no further rugrats movie in production , rugrats go wild stand a the final rugrats film . it is the only nickelodeon film to be a crossover . although it is a crossover film , it is primarily a rugrats movie a the main plot focus on the those characters.the rugrats family vacation take an exotic detour when their boat capsizes and they become shipwrecked on a deserted tropical island . with the jungle a their new backyard , the baby reace wildly from one dangerous adventure to the next…soon to discover that someone else is on the island . it 's the wild thornberrys ... on an island adventure of their own !",20694,"['E.G._Daily', 'Nancy_Cartwright', 'Kath_Soucie', 'Dionne_Quan', 'Tim_Curry']","['Norton_Virgien', 'John_Eng']",low revenue,6.3,low voted,low popularity
undercover brother,"action,comedy",usa president double life policy and organisations undercover intelligence partner duringcreditsstinger,"an afro-american organization , the b.r.o.t.h.e.r.h.o.o.d. , is in permanent fight against a white organization `` the man '' defending the value of the black people in north america . when the afro-american candidate gen. warren boutwell behaves strangely in his presidential campaign , undercover brother is hired to work undercover for `` the man '' and find what happened with the potential candidate .",12277,"['Eddie_Griffin', 'Chris_Kattan', 'Denise_Richards', 'Aunjanue_Ellis', 'Chi_McBride']",['Malcolm_D._Lee'],low revenue,6.4,low voted,low popularity
the sisterhood of the traveling pants,"drama,comedy",holiday female friendship jeans coming of age teenage girl summer based on young adult novel,"four best friend ( tibby , lena , carmen & amp ; bridget ) who buy a mysterious pair of pant that fit each of them , despite their differing size , and make whoever wear them feel fabulous . when faced with the prospect of spending their first summer apart , the pal decide they 'll swap the pant so that each girl in turn can enjoy the magic .",9779,"['Amber_Tamblyn', 'Alexis_Bledel', 'America_Ferrera', 'Blake_Lively', 'Jenna_Boyd']",['Ken_Kwapis'],low revenue,5.6,low voted,low popularity
kiss of the dragon,"action,crime,thriller",paris prostitute drug,"liu jian , an elite chinese police officer , come to paris to arrest a chinese drug lord . when jian is betrayed by a french officer and framed for murder , he must go into hiding and find new ally .",2140,"['Jet_Li', 'Bridget_Fonda', 'Tchéky_Karyo', 'Max_Ryan', 'Ric_Young']",['Chris_Nahon'],low revenue,5.4,low voted,low popularity
the house bunny,"romance,comedy",virgin nudity college costume yoga bikini party playboy jail sorority pregnancy model car wash fraternity pledge,"shelley is living a carefree life until a rival get her tossed out of the playboy mansion . with nowhere to go , fate delivers her to the sorority girl from zeta alpha zeta . unless they can sign a new pledge class , the seven socially clueless woman will lose their house to the scheming girl of phi iota mu . in order to accomplish their goal , they need shelley to teach them the way of makeup and men ; at the same time , shelley need some of what the zeta have - a sense of individuality . the combination lead all the girl to learn how to stop pretending and start being themselves .",12620,"['Anna_Faris', 'Emma_Stone', 'Kat_Dennings', 'Katharine_McPhee', 'Rumer_Willis']",['Fred_Wolf'],low revenue,6.6,low voted,low popularity
beauty shop,"comedy,romance",,"you thought you 'd heard it all in the barbershop , but you have n't heard anything yet - the woman get their own chance to shampoo , shine , and speak their mind in beauty shop .",14177,"['Queen_Latifah', 'Alicia_Silverstone', 'Andie_MacDowell', 'Alfre_Woodard', 'Mena_Suvari']",['Bille_Woodruff'],low revenue,6.4,low voted,low popularity
million dollar arm,drama,baseball sport duringcreditsstinger,"in a last-ditch effort to save his career , sport agent jb bernstein ( jon hamm ) dream up a wild game plan to find major league baseball ’ s next great pitcher from a pool of cricket player in india . he soon discovers two young men who can throw a fastball but know nothing about the game of baseball . or america . it ’ s an incredible and touching journey that will change them all — especially jb , who learns valuable lesson about teamwork , commitment and family .",198185,"['Jon_Hamm', 'Bill_Paxton', 'Lake_Bell', 'Suraj_Sharma', 'Aasif_Mandvi']",['Craig_Gillespie'],low revenue,5.8,low voted,low popularity
the giver,"drama,science fiction",dystopia black and white based on young adult novel,"in a seemingly perfect community , without war , pain , suffering , difference or choice , a young boy is chosen to learn from an elderly man about the true pain and pleasure of the `` real '' world .",227156,"['Jeff_Bridges', 'Meryl_Streep', 'Brenton_Thwaites', 'Odeya_Rush', 'Alexander_Skarsgård']",['Phillip_Noyce'],low revenue,5.5,low voted,low popularity
what a girl wants,comedy,london england england daughter politician teenage girl father daughter relationship american abroad teen comedy woman director,"an american girl , daphne , head to europe in search of the father she 's never met . but instead of finding a british version of her bohemian mother , she learns the love of her mom 's life is an uptight politician . the only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who make daphne 's life miserable .",10735,"['Amanda_Bynes', 'Colin_Firth', 'Kelly_Preston', 'Jonathan_Pryce', 'Oliver_James']",['Dennie_Gordon'],low revenue,5.5,low voted,low popularity
jeepers creepers 2,"horror,thriller",father son relationship scarecrow peasant farm immortality mythical creature father,"after 23 horrifying day of gorging on human flesh , an ancient creature known a the creeper embarks on a final voracious feeding frenzy , terrorizing a group of varsity basketball player , cheerleader and coach stranded on a remote highway when their bus break down . the terrified group is forced to come together and do battle against the winged creature hell-bent on completing it grizzly ritual .",11351,"['Ray_Wise', 'Jonathan_Breck', 'Garikayi_Mutambirwa', 'Eric_Nenninger', 'Josh_Hammond']",['Victor_Salva'],low revenue,5.8,low voted,low popularity
good luck chuck,"comedy,drama,romance",sex aquarium nudity one-night stand bride man-woman relation love curse wedding dentist based on short story duringcreditsstinger,"cursed since childhood , dentist charlie kagan can not find the right woman . even worse , he learns that each of his ex-girlfriends find true love with the man she meet after her relationship with him end . hearing of charlie 's reputation a a good-luck charm , woman from all over line up for a quick tryst . but when charlie meet the woman of his dream , he must find a way to break the curse or risk losing her to the next man she meet .",10030,"['Dane_Cook', 'Jessica_Alba', 'Dan_Fogler', 'Ellia_English', 'Lonny_Ross']",['Mark_Helfrich'],low revenue,7.0,low voted,low popularity
cradle 2 the grave,"action,crime,drama",robbery diamant intelligence bank robber thief bank robbery financial transactions hoodlum,"gang leader tony pull off a major diamond heist with his crew , but cop-turned-criminal ling know who ha the loot and responds by kidnapping tony 's daughter and holding her for ransom . unfortunately , tony 's lost the diamond a well . a he frantically search for his daughter and the jewel , tony pair with a high-kicking government agent who once worked with ling and seek revenge on him .",10623,"['Jet_Li', 'DMX', 'Kelly_Hu', 'Anthony_Anderson', 'Tom_Arnold']",['Andrzej_Bartkowiak'],low revenue,6.4,low voted,low popularity
the hours,drama,london england suicide gay poetry aids drowning depression home way of life self-destruction province literature empowerment country life family's daily life sense of life homelessness leaving one's family delusion,"`` the hour '' is the story of three woman searching for more potent , meaningful life . each is alive at a different time and place , all are linked by their yearning and their fear . their story intertwine , and finally come together in a surprising , transcendent moment of shared recognition .",590,"['Nicole_Kidman', 'Julianne_Moore', 'Meryl_Streep', 'Stephen_Dillane', 'Miranda_Richardson']",['Stephen_Daldry'],low revenue,6.1,low voted,low popularity
